iter	Passed	Remaining
974	36799	943
975	36848	906
976	36887	868
977	36929	830
978	36968	792
979	37008	755
980	37051	717
981	37092	679
982	37131	642
983	37170	604
984	37217	566
985	37263	529
986	37302	491
987	37340	453
988	37377	415
989	37414	377
990	37451	340
991	37488	302
992	37527	264
993	37566	226
994	37607	188
995	37648	151
996	37688	113
997	37727	75
998	37766	37
999	37806	0
